ycor,velocidad,timecreac,tramosid,tonelaje,tonhora
839944532,0,43469.01106,-1,916,7320
839944532,0,43469.01109,-1,916,7320
839944522,0,43469.01111,-1,916,7320
839944522,0,43469.01113,-1,916,7320
839944479,0,43469.01116,-1,916,7320
839944479,18,43469.01118,-1,916,7320
839944479,18,43469.0112,-1,916,7320
839944479,0,43469.01123,-1,916,7320
839944479,0,43469.01125,-1,916,7320
839944469,18,43469.01127,-1,916,7320
839944469,0,43469.0113,-1,916,7320
839944438,55,43469.01132,-1,916,7320
839944417,37,43469.01134,-1,916,7320
839944417,0,43469.01137,-1,1372,7320
839944416,37,43469.01139,-1,1372,7320
839944417,0,43469.01141,-1,1372,7320
839944406,18,43469.01144,-1,1372,7320
839944406,18,43469.01146,-1,1372,7320
839944385,0,43469.01148,-1,1372,7320
839944364,0,43469.0115,-1,1372,7320
839944364,18,43469.01153,-1,1372,7320
839944354,18,43469.01155,-1,1372,7320
839944332,18,43469.01157,-1,1372,7320
839944332,0,43469.0116,-1,1372,7320
839944354,18,43469.01162,-1,1372,7320
839944364,18,43469.01164,-1,1372,7320
839944364,18,43469.01167,-1,1372,7320
839944355,0,43469.01169,-1,1372,7320
839944354,18,43469.01171,-1,1372,7320
839944354,0,43469.01174,-1,1372,7320
839944354,0,43469.01176,-1,1372,7320
839944354,0,43469.01178,-1,1820,7320
839944354,0,43469.01181,-1,1820,7320
839944354,0,43469.01183,-1,1820,7320
839944364,37,43469.01185,-1,1820,7320
839944365,0,43469.01187,-1,1820,7320
839944385,0,43469.0119,-1,1820,7320
839944385,0,43469.01192,-1,1820,7320
839944385,37,43469.01194,-1,1820,7320
839944385,37,43469.01197,-1,1820,7320
839944385,18,43469.01199,-1,1820,7320
839944385,0,43469.01201,-1,1820,7320
839944364,18,43469.01204,-1,1820,7320
839944364,18,43469.01206,-1,1820,7320
839944385,18,43469.01208,-1,1820,7320
