Fecha,Turno,Area,Actividad,Origen,Destino,Volquete,Placa,Capacidad,PesoViaje,Contrata,EquipoCarguio,# Pases,Capacidad Exc,TipoEquipoCarguio,Material,CicloVolquete,Tarifa,Monto,CCosto,ToneladaSeca,HorasHorometros,VelocidadPromedio
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1509MA,T0C-923,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,366.1,1403,512.070726,10.03,13.857
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1513MA,,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,366.1,1403,512.070726,9.72,13.701
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1514MA,,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,339.95,1403,475.494246,9.9,13.64
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1516MA,,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,418.4,1403,585.223687,10.94,14.034
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1517MA,,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,183.05,1403,256.035363,4.2,14.127
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1518MA,,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,418.4,1403,585.223687,10.65,13.954
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_249COR,T0Z-914,24,37.392,COMPAÑÍA COMERCIALIZADORA Y REPRESENTACIONES S.A.,349DL_04SS,8,3.2,Excavadora Producción,Mineral,30.5,50,25.415,1403,36.103845,9.77,12.775
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_253COR,TAA-846,24,37.392,COMPAÑÍA COMERCIALIZADORA Y REPRESENTACIONES S.A.,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,152.5,1403,216.623073,7.19,13.805
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_254COR,TAA-847,24,37.392,COMPAÑÍA COMERCIALIZADORA Y REPRESENTACIONES S.A.,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,50.835,1403,72.207691,1.92,14.012
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_407RAP,,24,37.392,CONTRATA DE TRANSPORTES RAPESA S.A.C.,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,50.835,1403,72.207691,7,13.053
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_408RAP,,24,37.392,CONTRATA DE TRANSPORTES RAPESA S.A.C.,349DL_04SS,8,3.2,Excavadora Producción,Mineral,30.5,50,25.415,1403,36.103845,10.6,13.829
