ToneladaSeca,VelocidadPromedio,CicloVolquete
217.148057,14.605,31.38
144.765371,13.727,31.38
180.956714,14.489,31.38
180.956714,13.943,31.38
30.159452,12.963,31.38
72.382685,14.295,31.38
108.574028,12.871,31.38
289.530743,13.529,31.38
144.765371,13.141,31.38
180.956714,13.223,31.38
144.765371,14.006,31.38
217.148057,12.904,31.38
144.765371,12.579,31.38
30.159452,13.243,31.38
180.956714,12.754,31.38
325.722085,13.071,31.38
180.956714,12.87,31.38
217.148057,12.441,31.38
325.722085,12.761,31.38
361.913428,13.58,31.38
72.382685,13.224,31.38
289.530743,13.224,31.38
108.574028,13.095,31.38
108.574028,12.732,31.38
72.382685,12.902,31.38
108.574028,13.211,31.38
72.382685,12.935,31.38
108.574028,13.482,31.38
72.382685,13.105,31.38
72.382685,13.134,31.38
72.382685,13.823,31.38
36.191342,13.644,31.38
72.382685,13.049,31.38
72.382685,12.663,31.38
72.382685,13.515,31.38
72.382685,13.471,31.38
72.382685,13.265,31.38
72.382685,13.541,31.38
217.148057,13.338,31.38
144.765371,13.378,31.38
144.765371,13.63,31.38
144.765371,12.918,31.38
72.129915,13.828,31.38
324.584621,13.343,31.38
108.194873,14.479,31.38
120.216526,14.316,31.38
324.584621,13.734,31.38
252.454705,13.894,31.38
144.259831,13.516,31.38
288.519663,13.241,31.38
216.389747,13.144,31.38
144.259831,15.754,31.38
216.389747,14.498,31.38
324.584621,14.333,31.38
360.649579,14.519,31.38
324.584621,14.599,31.38
324.584621,14.895,31.38
144.259831,13.954,31.38
216.389747,13.954,31.38
252.454705,14.437,31.38
396.714537,14.764,31.38
252.454705,14.451,31.38
396.714537,15.356,31.38
324.584621,14.289,31.38
324.584621,14.696,31.38
288.519663,14.27,31.38
324.584621,14.063,31.38
72.129915,14.667,31.38
252.454705,15.079,31.38
252.454705,15.027,31.38
150.270658,14.328,31.38
144.259831,15.341,31.38
72.129915,14.362,31.38
144.259831,14.189,31.38
216.389747,14.308,31.38
360.649579,13.724,31.38
396.714537,13.57,31.38
396.714537,13.48,31.38
468.844452,13.588,31.38
432.779495,13.274,31.38
324.584621,14.046,31.38
468.844452,13.65,31.38
360.649579,13.478,31.38
108.194873,13.352,31.38
360.649579,12.99,31.38
432.779495,13.408,31.38
468.844452,14.26,31.38
396.714537,14.313,31.38
36.064957,12.74,31.38
180.324789,14.068,31.38
396.714537,13.341,31.38
504.90941,13.012,31.38
241.253184,12.866,31.38
30.156648,12.866,31.38
271.409832,12.933,31.38
30.156648,12.933,31.38
72.375955,13.889,31.38
108.563932,13.792,31.38
108.563932,13.827,31.38
72.375955,13.736,31.38
144.75191,13.321,31.38
72.375955,14.078,31.38
36.187977,13.933,31.38
36.187977,14.115,31.38
108.563932,13.662,31.38
72.375955,12.731,31.38
108.563932,13.39,31.38
144.75191,14.215,31.38
36.187977,14.215,31.38
301.56648,13.801,31.38
217.127865,14.017,31.38
180.939888,13.957,31.38
217.127865,13.418,31.38
144.75191,13.338,31.38
180.939888,12.762,31.38
72.375955,13.305,31.38
180.939888,13.305,31.38
217.127865,14.719,31.38
217.127865,13.622,31.38
