Capacidad,PesoViaje,# Pases,Capacidad Exc,CicloVolquete,Tarifa,Monto,CCosto,ToneladaSeca,HorasHorometros,VelocidadPromedio
24,37.392,5,5.16,31.38,50,104.6,1403,144.415382,5.81,15.157
24,37.392,5,5.16,31.38,50,261.5,1403,361.038456,10.93,13.74
24,37.392,5,5.16,31.38,50,209.2,1403,288.830764,9.98,14.231
24,37.392,5,5.16,31.38,50,209.2,1403,288.830764,10.2,14.972
24,37.392,5,5.16,31.38,50,261.5,1403,361.038456,10.72,14.848
24,37.392,5,5.16,31.38,50,209.2,1403,288.830764,10.55,14.28
24,37.392,5,5.16,31.38,50,287.65,1403,397.142301,10.47,14.492
24,37.392,5,5.16,31.38,50,287.65,1403,397.142301,10.31,14.18
24,37.392,5,5.16,31.38,50,261.5,1403,361.038456,10.37,15.245
24,37.392,5,5.16,31.38,50,287.65,1403,397.142301,10.61,14.085
24,37.392,4,6,31.38,50,78.45,1403,108.311536,10.07,13.361
24,37.392,5,5.16,31.38,50,209.2,1403,288.830764,10,12.699
24,37.392,5,5.16,31.38,50,261.5,1403,361.038456,10.3,14.235
24,37.392,4,6,31.38,50,78.45,1403,108.311536,8.11,13.005
24,37.392,4,6,31.38,50,104.6,1403,144.415382,9.73,12.788
24,37.392,5,5.16,31.38,50,183.05,1403,252.726919,10.35,13.435
24,37.392,4,6,31.38,50,78.45,1403,108.311536,10.1,13.357
24,37.392,4,6,31.38,50,78.45,1403,108.311536,10.09,14.015
24,37.392,5,5.16,30,50,275,1403,396.142813,7.51,14.342
24,37.392,8,3.2,30,50,75,1403,108.038949,10.58,13.653
24,37.392,4,6,30,50,150,1403,216.077898,10.83,13.754
24,37.392,5,5.16,30,50,350,1403,504.181762,10.24,13.563
24,37.392,5,5.16,30,50,300,1403,432.155796,8.8,
24,37.392,5,5.16,30,50,225,1403,324.116847,8.2,14.651
24,37.392,5,5.16,30,50,375,1403,540.194745,10.7,14.471
24,37.392,8,3.2,30,50,75,1403,108.038949,10.94,14.062
24,37.392,4,6,30,50,225,1403,324.116847,10.77,13.782
24,37.392,4,6,30,50,250,1403,360.12983,10.71,13.628
24,37.392,4,6,30,50,275,1403,396.142813,10.31,14.145
24,37.392,4,6,30,50,200,1403,288.103864,10.52,14.614
24,37.392,4,6,30,50,200,1403,288.103864,9.14,15.298
24,37.392,4,6,30,50,250,1403,360.12983,9.57,15.602
24,37.392,4,6,30,50,50,1403,72.025966,6.92,15.231
24,37.392,4,6,30,50,100,1403,144.051932,7.39,14.813
24,37.392,4,6,30,50,150,1403,216.077898,8.31,14.268
24,37.392,4,6,30,50,225,1403,324.116847,7.28,15.319
24,37.392,4,6,30,50,175,1403,252.090881,8.25,14.363
24,37.392,4,6,30,50,250,1403,360.12983,11.38,14.742
24,37.392,4,6,30,50,250,1403,360.12983,10.41,14.138
24,37.392,5,5.16,30,50,450,1403,648.233694,10.79,15.783
24,37.392,5,5.16,30,50,425,1403,612.220711,10.86,15.019
24,37.392,5,5.16,30,50,50,1403,72.025966,4.25,14.978
24,37.392,8,3.2,30,50,75,1403,108.038949,4.25,14.978
24,37.392,5,5.16,30,50,375,1403,540.194745,10.55,13.772
24,37.392,5,5.16,30,50,450,1403,648.233694,10.92,14.597
24,37.392,5,5.16,30,50,425,1403,612.220711,10.75,14.594
24,37.392,5,5.16,30,50,450,1403,648.233694,10.84,14.38
24,37.392,5,5.16,30,50,400,1403,576.207728,9.73,14.388
24,37.392,5,5.16,30,50,450,1403,648.233694,10.74,14.198
24,37.392,5,5.16,30,50,450,1403,648.233694,10.77,14.626
24,37.392,5,5.16,30,50,450,1403,648.233694,0,14.237
24,37.392,5,5.16,30,50,425,1403,612.220711,10.22,14.818
24,37.392,8,3.2,30,50,100,1403,144.051932,10.97,13.611
24,37.392,8,3.2,30,50,75,1403,108.038949,10.88,13.979
24,37.392,4,6,30,50,225,1403,324.116847,10.78,13.579
24,37.392,4,6,30,50,100,1403,144.051932,5.41,13.726
24,37.392,8,3.2,30,50,75,1403,108.038949,10.25,13.957
24,37.392,5,5.16,30,50,175,1403,252.090881,3.94,14.492
24,37.392,5,5.16,30,50,125,1403,180.064915,10.66,13.875
24,37.392,8,3.2,30,50,100,1403,144.051932,10.66,13.875
24,37.392,8,3.2,30,50,100,1403,144.051932,10.8,13.774
24,37.392,8,3.2,30,50,100,1403,144.051932,11.11,14.307
24,37.392,4,6,30,50,200,1403,288.103864,10.43,14.319
24,37.392,8,3.2,30,50,100,1403,144.051932,10.43,14.319
24,37.392,5,5.16,31.38,50,104.6,1403,144.051932,3.6,13.83
24,37.392,5,5.16,31.38,50,78.45,1403,108.038949,4.9,13.855
24,37.392,4,6,31.38,50,26.15,1403,36.012983,10.58,13.212
24,37.392,4,6,31.38,50,26.15,1403,36.012983,10.02,13.37
24,37.392,4,6,31.38,50,52.3,1403,72.025966,10.02,13.225
24,37.392,4,6,31.38,50,26.15,1403,36.012983,10.68,13.124
24,37.392,4,6,31.38,50,52.3,1403,72.025966,9.45,14.254
24,37.392,4,6,31.38,50,26.15,1403,36.012983,10.62,13.604
24,37.392,4,6,31.38,50,52.3,1403,72.025966,10.57,13.562
24,37.392,4,6,31.38,50,52.3,1403,72.025966,10.12,14.311
24,37.392,5,5.16,31.38,50,104.6,1403,144.051932,7.72,14.33
24,37.392,4,6,31.38,50,78.45,1403,108.038949,7.9,13.766
24,37.392,4,6,31.38,50,52.3,1403,72.025966,5.01,14.263
24,37.392,4,6,31.38,50,78.45,1403,108.038949,10.49,14.624
24,37.392,5,5.16,31.38,50,235.35,1403,324.116847,10.04,13.896
24,37.392,5,5.16,31.38,50,287.65,1403,396.142813,10.1,14.195
24,37.392,5,5.16,31.38,50,235.35,1403,324.116847,9.95,13.545
24,37.392,5,5.16,31.38,50,235.35,1403,324.116847,10.26,13.312
24,37.392,5,5.16,31.38,50,235.35,1403,324.116847,10.09,13.313
24,37.392,5,5.16,31.38,50,183.05,1403,252.090881,10.05,13.817
24,37.392,5,5.16,31.38,50,261.5,1403,360.12983,10.22,13.641
24,37.392,5,5.16,31.38,50,235.35,1403,324.116847,10.24,13.123
24,37.392,5,5.16,31.38,50,261.5,1403,360.12983,10.04,14.5
24,37.392,5,5.16,31.38,50,209.2,1403,288.103864,10.09,13.655
24,37.392,5,5.16,31.38,50,183.05,1403,252.090881,10.07,14.152
24,37.392,5,5.16,31.38,50,235.35,1403,324.116847,9.43,13.424
24,37.392,4,6,31.38,50,183.05,1403,252.090881,10.12,12.335
24,37.392,5,5.16,31.38,50,209.2,1403,288.103864,9.49,12.019
24,37.392,4,6,31.38,50,52.3,1403,72.025966,11.09,15.353
24,37.392,4,6,31.38,50,26.15,1403,36.012983,11.04,14.846
20,31.16,4,5,31.38,46,24.058,1403,30.159452,9,12.344
20,31.16,6,3.2,31.38,46,48.116,1403,60.318904,10,13.527
20,31.16,4,5,31.38,46,72.174,1403,90.478357,10,13.527
20,31.16,4,5,31.38,46,72.174,1403,90.478357,11,12.662
20,31.16,4,5,31.38,46,96.232,1403,120.637809,5,12.103
24,37.392,5,5,31.38,50,78.45,1403,108.574028,9.52,13.499
20,31.16,6,3.2,31.38,46,24.058,1403,30.159452,10.6,13.752
20,31.16,4,5,31.38,46,146.0546,1403,150.797262,10.6,13.752
24,37.392,4,6,31.38,50,130.75,1403,180.956714,9.62,14.647
24,37.392,8,3.2,31.38,50,26.15,1403,36.191342,11,13.427
24,37.392,5,5,31.38,50,78.45,1403,108.574028,11,13.427
24,37.392,4,6,31.38,50,78.45,1403,108.574028,9.45,17.308
24,37.392,5,5,31.38,50,104.6,1403,144.765371,3.01,15.422
20,31.16,6,3.2,31.38,46,24.058,1403,30.159452,10,
20,31.16,4,5,31.38,46,72.174,1403,90.478357,10,
24,37.392,5,5,31.38,50,52.3,1403,72.382685,10.78,14.322
20,31.16,6,3.2,31.38,46,24.058,1403,30.159452,9.39,13.194
20,31.16,4,5,31.38,46,48.116,1403,60.318904,9.39,13.194
24,37.392,8,3.2,31.38,50,26.15,1403,36.191342,10.84,13.281
24,37.392,5,5,31.38,50,104.6,1403,144.765371,10.84,13.281
24,37.392,5,5.16,31.38,50,52.3,1403,72.382685,6.03,13.426
24,37.392,8,3.2,31.38,50,52.3,1403,72.382685,6.03,13.426
24,37.392,4,6,31.38,50,78.45,1403,108.574028,10.54,13.345
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.11,12.758
24,37.392,8,3.2,31.38,50,26.15,1403,36.191342,10.03,12.709
24,37.392,8,3.2,31.38,50,26.15,1403,36.191342,10.64,12.643
24,37.392,5,5,31.38,50,26.15,1403,36.191342,10.64,12.643
24,37.392,8,3.2,31.38,50,52.3,1403,72.382685,9.2,14.35
24,37.392,5,5,31.38,50,104.6,1403,144.765371,9.2,14.35
24,37.392,4,6,31.38,50,156.9,1403,217.148057,10.38,13.45
24,37.392,8,3.2,31.38,50,26.15,1403,36.191342,10.38,13.45
24,37.392,4,6,31.38,50,183.05,1403,253.3394,10.8,13.556
24,37.392,5,5,31.38,50,52.3,1403,72.382685,8.43,13.797
24,37.392,5,5,31.38,50,104.6,1403,144.765371,0,14.623
24,37.392,5,5,31.38,50,78.45,1403,108.574028,9,14.341
24,37.392,5,5,31.38,50,78.45,1403,108.574028,5.14,13.999
24,37.392,5,5.16,31.38,50,156.9,1403,217.148057,10.76,13.306
24,37.392,4,6,31.38,50,183.05,1403,253.3394,10.87,13.491
24,37.392,5,5.16,31.38,50,130.75,1403,180.956714,11.03,13.613
24,37.392,5,5.16,31.38,50,104.6,1403,144.765371,10.83,14.022
24,37.392,5,5.16,31.38,50,104.6,1403,144.765371,9.89,14.661
24,37.392,5,5.16,31.38,50,156.9,1403,217.148057,10.55,14.605
24,37.392,5,5.16,31.38,50,104.6,1403,144.765371,10.42,13.727
24,37.392,5,5.16,31.38,50,130.75,1403,180.956714,10.85,14.489
24,37.392,5,5.16,31.38,50,130.75,1403,180.956714,10.69,13.943
20,31.16,6,3.2,31.38,44,23.012,1403,30.159452,4.93,12.963
24,37.392,5,5.16,31.38,50,52.3,1403,72.382685,6.27,14.295
24,37.392,5,5.16,31.38,50,78.45,1403,108.574028,10.93,12.871
24,37.392,5,5,31.38,50,209.2,1403,289.530743,10.24,13.529
24,37.392,5,5,31.38,50,104.6,1403,144.765371,10.59,13.141
24,37.392,5,5,31.38,50,130.75,1403,180.956714,10.4,13.223
24,37.392,5,5,31.38,50,104.6,1403,144.765371,7.07,14.006
24,37.392,5,5,31.38,50,156.9,1403,217.148057,10.7,12.904
24,37.392,5,5,31.38,50,104.6,1403,144.765371,10.4,12.579
20,31.16,4,5,31.38,46,24.058,1403,30.159452,10,13.243
24,37.392,5,5,31.38,50,130.75,1403,180.956714,10.51,12.754
24,37.392,5,5,31.38,50,235.35,1403,325.722085,10.86,13.071
24,37.392,5,5,31.38,50,130.75,1403,180.956714,0,12.87
24,37.392,5,5,31.38,50,156.9,1403,217.148057,10.7,12.441
24,37.392,5,5,31.38,50,235.35,1403,325.722085,10.35,12.761
24,37.392,5,5,31.38,50,261.5,1403,361.913428,10.45,13.58
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.05,13.224
24,37.392,5,5,31.38,50,209.2,1403,289.530743,10.05,13.224
24,37.392,4,6,31.38,50,78.45,1403,108.574028,8.1,13.095
24,37.392,4,6,31.38,50,78.45,1403,108.574028,10.69,12.732
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.99,12.902
24,37.392,4,6,31.38,50,78.45,1403,108.574028,10.35,13.211
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.69,12.935
24,37.392,4,6,31.38,50,78.45,1403,108.574028,9.98,13.482
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.12,13.105
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.19,13.134
24,37.392,4,6,31.38,50,52.3,1403,72.382685,2.33,13.823
24,37.392,4,6,31.38,50,26.15,1403,36.191342,9.47,13.644
24,37.392,4,6,31.38,50,52.3,1403,72.382685,9.2,13.049
24,37.392,5,5.16,31.38,50,52.3,1403,72.382685,10.06,12.663
24,37.392,5,5.16,31.38,50,52.3,1403,72.382685,9.95,13.515
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.75,13.471
24,37.392,4,6,31.38,50,52.3,1403,72.382685,10.89,13.265
24,37.392,4,6,31.38,50,52.3,1403,72.382685,6.65,13.541
